platform,market_focus,media,domain_candidate,access_code,access_interpretation,evidence,desktop_chrome,extension_support,notes,source_urls,source_titles,research_date
radio.net,Global music radio and podcasts,Audio,radio.net,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Radio/podcast aggregator; platform versus station ads.,,,2026-09-06
Radio Garden,Global music radio and podcasts,Audio,radio.garden,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Radio map/player; third-party station streams are not uniformly ad-supported.,,,2026-09-06
Streema,Global music radio and podcasts,Audio,streema.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Radio aggregator; station-specific ads.,,,2026-09-06
myTuner Radio,Global music radio and podcasts,Audio,mytuner-radio.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Web/app radio aggregator; device ad behavior differs.,,,2026-09-06
Live365,Global music radio and podcasts,Audio,live365.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Station hosting/player ecosystem; per-station monetization differs.,,,2026-09-06
LITT Live,Global music radio and podcasts,Audio,littlive.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Former Dash Radio naming candidate; verify current platform ads versus station claims.,,,2026-09-06
DI.FM,Global music radio and podcasts,Audio,di.fm,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free/Premium electronic radio candidate.,,,2026-09-06
RadioTunes,Global music radio and podcasts,Audio,radiotunes.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Shared family with DI.FM; verify player reuse.,,,2026-09-06
JAZZRADIO.com,Global music radio and podcasts,Audio,jazzradio.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Shared radio family; test ads independently from genre content.,,,2026-09-06
ROCKRADIO.com,Global music radio and podcasts,Audio,rockradio.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Shared radio family; test free/premium distinction.,,,2026-09-06
ClassicalRadio.com,Global music radio and podcasts,Audio,classicalradio.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Shared radio family; candidate for shared adapter.,,,2026-09-06
SiriusXM,Global music radio and podcasts,Audio,siriusxm.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid service; talk/sport/podcast ads differ from ad-free music channels.,,,2026-09-06
SomaFM,Global music radio and podcasts,Audio,somafm.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Likely donation-supported, not a conventional ad target; verify and use as negative control.",,,2026-09-06
Mixcloud,Global music radio and podcasts,Audio,mixcloud.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,DJ/radio mixes; creator membership/rights limitations are not ad breaks.,,,2026-09-06
Audiomack,Global music radio and podcasts,Audio,audiomack.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid upgrade removes ad interruptions; app-only features do not prove browser parity.,https://creators.audiomack.com/premium,Audiomack | Free Music Sharing and Discovery,2026-09-06
Bandcamp,Global music radio and podcasts,Audio,bandcamp.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Artist previews/purchases; not presumed conventional ad-supported music streaming.,,,2026-09-06
Apple Podcasts,Global music radio and podcasts,Audio,podcasts.apple.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Free episodes may contain publisher ads; Apple app/web is a player, not necessarily source of ads.",https://advertise.acast.com/en/advertise/home,"Acast | Podcast Advertising Network | 140,000+ Shows",2026-09-06
iVoox,Global music radio and podcasts,Audio,ivoox.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free podcasts/radio plus ad-free paid options; host-read sponsorship remains separate.,https://www.ivoox.com/planes ; https://www.ivoox.com/en/,Planes de iVoox: Premium y Plus ; The leading podcast platform in Spanish - iVoox,2026-09-06
Podbean,Global music radio and podcasts,Audio,podbean.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Hosting/player network with dynamic ads; not every podcast has ads.,https://help.podbean.com/support/solutions/articles/25000035195-join-the-podbean-ads-marketplace,Join the Podbean Ads Marketplace | Podbean Support,2026-09-06
Acast players,Global music radio and podcasts,Audio,play.acast.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Publisher infrastructure with dynamic ad insertion; many listening apps receive same episode audio.,https://advertise.acast.com/en/advertise/home ; https://learn-advertising.acast.com/en/articles/8027374-pre-recorded-ads,"Acast | Podcast Advertising Network | 140,000+ Shows ; Pre-recorded Ads | Acast Ads Help Center",2026-09-06
Spreaker,Global music radio and podcasts,Audio,spreaker.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Podcast host/player and monetization candidate.,,,2026-09-06
Castbox,Global music radio and podcasts,Audio,castbox.fm,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Podcast player; app ads versus embedded episode ads.,,,2026-09-06
Podchaser,Global music radio and podcasts,Audio,podchaser.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Discovery/episode playback surface, not a uniform ad inventory.",,,2026-09-06
Pocket Casts,Global music radio and podcasts,Audio,pocketcasts.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Player; web entitlement and podcast-originated ads need checking.,,,2026-09-06
Podcast Addict,Global music radio and podcasts,Audio,podcastaddict.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,App-first player; web pages are not proof of full web playback.,,,2026-09-06
NPR,Global music radio and podcasts,Audio,npr.org,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Underwriting/dynamic podcast sponsorship; do not classify spoken program content as ads by keywords alone.,,,2026-09-06
JioSaavn,Regional audio,Audio,jiosaavn.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free listening with Pro ad-free upgrade; browser eligibility/ad format needs runtime check.,https://www.jio.com/help/faq/jio-apps/jiosaavn/do-i-have-to-pay-for-using-features-in-jiosaavn/ ; https://www.jio.com/apps/jiosaavn/,Do I have to pay for using features in JioSaavn? ; JioSaavn Free Song App - Download Latest Songs Online & Music App,2026-09-06
Gaana,Regional audio,Audio,gaana.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Do not assume old free tier still exists; verify subscription requirements before prioritizing.,,,2026-09-06
Hungama Music,Regional audio,Audio,hungama.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Music/video service; free samples and ads vary.,,,2026-09-06
Mirchi Plus,Regional audio,Audio,mirchi.in,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,India radio/podcasts/audio stories candidate.,,,2026-09-06
Boomplay,Regional audio,Audio,boomplay.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official developer describes free service funded by ads; browser feature parity unverified.,https://play.google.com/store/apps/details?hl=en_US&id=com.afmobi.boomplayer,Boomplay: Music & Live Stream - Apps on Google Play,2026-09-06
Mdundo,Regional audio,Audio,mdundo.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,"African music service; downloads, streaming and sponsorship differ.",,,2026-09-06
Anghami,Regional audio,Audio,play.anghami.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official help explicitly documents ads on the free plan through a temporary ad-removal offer. Homepage plan extraction remains ambiguous; territory eligibility and desktop parity are untested.,https://support.anghami.com/hc/en-us/articles/9198311576602-Anghami-Ads-Free-Offer-How-It-Works ; https://support.anghami.com/hc/en-us/categories/204110868-Advertise-on-Anghami ; https://support.anghami.com/hc/en-us/articles/9198311576602-Anghami-Ads-Free-Offer-How-It-Works,Anghami Ads-Free Offer – How It Works? – Anghami Help Center ; Advertise on Anghami – Anghami Help Center ; Anghami Ads-Free Offer – How It Works? – Anghami Help Center,2026-09-06
JOOX,Regional audio,Audio,joox.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,"VIP ad-free benefit documented, but FAQ crawl is old and includes mobile purchase instructions. Current free browser playback and advertising per market remain unverified.",https://www.joox.com/en/mobile/faq.html ; https://www.joox.com/en/faq.html,JOOX - FAQ ; JOOX - FAQ,2026-09-06
TREBEL,Regional audio,Audio,trebelmusic.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Official app describes free daily allowance with ads; app-first, desktop player not established.",https://play.google.com/store/apps/details?hl=en_US&id=com.mmm.trebelmusic,"TREBEL: Music, MP3 & Podcasts - Apps on Google Play",2026-09-06
QQ Music,Regional audio,Audio,y.qq.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,China free tracks/VIP; full browser access and ads differ by track.,,,2026-09-06
Kugou Music,Regional audio,Audio,kugou.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,China music/live service; free/paid song restrictions are not removable ads.,,,2026-09-06
Kuwo Music,Regional audio,Audio,kuwo.cn,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,China music/radio candidate; browser and ad model need checking.,,,2026-09-06
NetEase Cloud Music,Regional audio,Audio,music.163.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,China free/paid music and podcasts; full tracks versus samples.,,,2026-09-06
Ximalaya,Regional audio,Audio,ximalaya.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,China spoken audio/podcasts; free/paid and host-read ads.,,,2026-09-06
Qingting FM,Regional audio,Audio,qingting.fm,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,China radio/spoken audio candidate.,,,2026-09-06
Lizhi,Regional audio,Audio,lizhi.fm,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,China audio/community; current browser service needs checking.,,,2026-09-06
Zing MP3,Regional audio,Audio,zingmp3.vn,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Vietnam free/VIP music candidate; current browser and ad model need verification.,,,2026-09-06
NhacCuaTui,Regional audio,Audio,nhaccuatui.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Vietnam free/VIP music candidate.,,,2026-09-06
VK Music,Regional audio,Audio,music.vk.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Russia/social music; regional free browser and ad eligibility need checking.,,,2026-09-06
Yandex Music,Regional audio,Audio,music.yandex.ru,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid availability in many markets; do not assume historical free tier.,,,2026-09-06
Zvuk,Regional audio,Audio,zvuk.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Russian music subscription; verify free/ad portion.,,,2026-09-06
KKBOX,Regional audio,Audio,kkbox.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,East Asian subscription service; previews/trials not counted as free ad tier.,,,2026-09-06
LINE MUSIC,Regional audio,Audio,music.line.me,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Japan music subscription; free preview limits vary.,,,2026-09-06
AWA,Regional audio,Audio,awa.fm,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Japan music; free preview/session limits require checking.,,,2026-09-06
Melon,Regional audio,Audio,melon.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Korean subscription service; previews not equivalent to free full-track streaming.,,,2026-09-06
Genie,Regional audio,Audio,genie.co.kr,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Korean subscription service; free full-track/ad access unconfirmed.,,,2026-09-06
FLO,Regional audio,Audio,music-flo.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Korean subscription service; free/ad access unconfirmed.,,,2026-09-06
Bugs,Regional audio,Audio,music.bugs.co.kr,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Korean subscription service; previews versus paid tracks.,,,2026-09-06
NAVER VIBE,Regional audio,Audio,vibe.naver.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Korean music subscription; free/ad access unconfirmed.,,,2026-09-06
Pornhub,Adult video and live-camera services,Adult,pornhub.com,A,Adult advertising inventory documented; free/player details require qualification,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Adult ad placement confirmed by official ad network; local eligibility required; no playback tested.,https://www.trafficjunky.com/advertiser/ad-formats,"TrafficJunky Ad Formats: Advertise on Pornhub, YouPorn & More | TrafficJunky",2026-09-06
YouPorn,Adult video and live-camera services,Adult,youporn.com,A,Adult advertising inventory documented; free/player details require qualification,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Adult ad placement confirmed; video/display formats must be distinguished.,https://www.trafficjunky.com/advertiser/ad-formats,"TrafficJunky Ad Formats: Advertise on Pornhub, YouPorn & More | TrafficJunky",2026-09-06
RedTube,Adult video and live-camera services,Adult,redtube.com,A,Adult advertising inventory documented; free/player details require qualification,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Adult ad placement confirmed; no playback tested.,https://www.trafficjunky.com/advertiser/ad-formats,"TrafficJunky Ad Formats: Advertise on Pornhub, YouPorn & More | TrafficJunky",2026-09-06
Tube8,Adult video and live-camera services,Adult,tube8.com,A,Adult advertising inventory documented; free/player details require qualification,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official network still lists placement; independently verify active service/browser before adapter.,https://www.trafficjunky.com/advertiser/ad-formats,"TrafficJunky Ad Formats: Advertise on Pornhub, YouPorn & More | TrafficJunky",2026-09-06
XVideos,Adult video and live-camera services,Adult,xvideos.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Older official ad-network evidence; current ad formats and availability require verification.,https://www.trafficfactory.com/wp-content/uploads/2019/10/Make-Money-Investing-in-the-Brazilian-Market-with-Traffic-Factory-ENG.pdf,BLOG ARTICLE,2026-09-06
XNXX,Adult video and live-camera services,Adult,xnxx.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Adult video candidate; current ad network/player not verified.,,,2026-09-06
xHamster,Adult video and live-camera services,Adult,xhamster.com,A,Adult advertising inventory documented; free/player details require qualification,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Official advertising partner lists pre-roll, popunder and other formats.",https://trafficstars.com/product/xhamster-ads,xHamster's ads Exclusive Ad Partner TrafficStars,2026-09-06
Eporner,Adult video and live-camera services,Adult,eporner.com,A,Adult advertising inventory documented; free/player details require qualification,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Ad-network case study confirms advertising inventory; current player behavior untested.,https://trafficstars.com/blog/case-study-scaling-an-igaming-offer-in-mena-to-1536-ftd,"Case Study: Scaling an iGaming Offer in MENA to 1,536 FTD",2026-09-06
SpankBang,Adult video and live-camera services,Adult,spankbang.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Adult video candidate; owner/player/current ad formats unverified.,,,2026-09-06
Beeg,Adult video and live-camera services,Adult,beeg.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Adult video candidate; no playback or ad-model confirmation.,,,2026-09-06
ThisVid,Adult video and live-camera services,Adult,thisvid.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Adult social video candidate; account/private content not part of ad handling.,,,2026-09-06
Chaturbate,Adult video and live-camera services,Adult,chaturbate.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free public rooms and paid interactions are not equivalent to ad breaks; ad inventory not verified here.,,,2026-09-06
Stripchat,Adult video and live-camera services,Adult,stripchat.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Live-camera candidate; never classify pay/tip/private-room controls as ads.,,,2026-09-06
LiveJasmin,Adult video and live-camera services,Adult,livejasmin.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Live-camera candidate; paid-session access is not ad skipping.,,,2026-09-06
BongaCams,Adult video and live-camera services,Adult,bongacams.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Live-camera candidate; verify actual advertising separately from creator content.,,,2026-09-06
CAM4,Adult video and live-camera services,Adult,cam4.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Live-camera candidate; free-room versus paid interaction distinction.,,,2026-09-06
CamSoda,Adult video and live-camera services,Adult,camsoda.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Live-camera candidate; ads not inferred from promotional UI alone.,,,2026-09-06
MyFreeCams,Adult video and live-camera services,Adult,myfreecams.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Live-camera candidate; do not accelerate the creator's live feed.,,,2026-09-06
Flirt4Free,Adult video and live-camera services,Adult,flirt4free.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Live-camera candidate; membership/private session controls are not ads.,,,2026-09-06
Streamate,Adult video and live-camera services,Adult,streamate.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Live-camera candidate; entitlement boundary separate from advertising.,,,2026-09-06
Facebook video / Reels / Live,Additional social video and publisher surfaces,Video,facebook.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Advertising documented for Reels; desktop feed and live ad behavior require their own qualification.,https://www.facebook.com/business/ads/facebook-instagram-reels-ads,Instagram & Facebook Reels: Create Short Video Ads | Meta for Business,2026-09-06
Instagram video / Reels / Live,Additional social video and publisher surfaces,Video,instagram.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Advertising documented; sponsored feed cards are not necessarily video ad breaks.,https://www.facebook.com/business/ads/facebook-instagram-reels-ads,Instagram & Facebook Reels: Create Short Video Ads | Meta for Business,2026-09-06
TikTok,Additional social video and publisher surfaces,Video,tiktok.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Advertising documented; web experience, feed ads and live differ from mobile.",https://ads.tiktok.com/business/en/campaign/video,Make Your Video Budgets Work Harder | TikTok for Business,2026-09-06
X video / live,Additional social video and publisher surfaces,Video,x.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Social video candidate; subscription, advertiser and creator sponsorship distinctions.",,,2026-09-06
Snapchat web / Spotlight,Additional social video and publisher surfaces,Video,snapchat.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Mobile-first; verify whether target viewing/ad surface exists in desktop Chrome.,,,2026-09-06
Kwai,Additional social video and publisher surfaces,Video,kwai.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,International short-video/live service; distinct from Chinese Kuaishou product.,,,2026-09-06
Likee,Additional social video and publisher surfaces,Video,likee.video,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Short-video/live candidate; web versus app ad behavior unverified.,,,2026-09-06
BIGO LIVE,Additional social video and publisher surfaces,Video,bigo.tv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Live-streaming/gifts; do not treat creator commerce as interruptive ads.,,,2026-09-06
Nimo TV,Additional social video and publisher surfaces,Video,nimo.tv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Game/live streaming; current regional operation/ad model needs checking.,,,2026-09-06
Vimeo,Additional social video and publisher surfaces,Video,vimeo.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Hosting/player platform, not presumed ad-supported consumer video; useful negative control.",,,2026-09-06
Yahoo video,Additional social video and publisher surfaces,Video,yahoo.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Publisher video/sports; embedded player family may cover many pages.,,,2026-09-06
AOL video,Additional social video and publisher surfaces,Video,aol.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Publisher video candidate; shared player with other properties possible.,,,2026-09-06
MSN video,Additional social video and publisher surfaces,Video,msn.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Publisher/aggregation surface; identify actual player owner before adapter work.,,,2026-09-06
CNN video,Additional social video and publisher surfaces,Video,cnn.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free clips versus paid/live access; ads depend on product/market.,,,2026-09-06
NBC News NOW,Additional social video and publisher surfaces,Video,nbcnews.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free news stream candidate; distinguish linear commercials and pre-rolls.,,,2026-09-06
ABC News Live,Additional social video and publisher surfaces,Video,abcnews.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free news/video candidate; publisher-owned player versus platform distribution.,,,2026-09-06
CBS News 24/7,Additional social video and publisher surfaces,Video,cbsnews.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free news stream/video candidate.,,,2026-09-06
FOX Local / LiveNOW,Additional social video and publisher surfaces,Video,foxlocal.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free local/news surfaces; actual host and web availability need checking.,,,2026-09-06
Reuters video,Additional social video and publisher surfaces,Video,reuters.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Publisher video, subscriptions and embedded distribution differ.",,,2026-09-06
Euronews,Additional social video and publisher surfaces,Video,euronews.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Multilingual news video/live candidate.,,,2026-09-06
France 24,Additional social video and publisher surfaces,Video,france24.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Multilingual news/video; advertising may differ by region and stream.,,,2026-09-06
DAZN,Additional sports surfaces,Video,dazn.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free selection plus paid passes; ad sales documented. Qualify each territory and rights package.,https://www.dazn.com/en-IT/help/articles/16738769256733-free-offer ; https://biz.dazn.com/mediaguide/,Free-Offer | DAZN IT ; DAZN広告 媒体資料ダウンロード,2026-09-06
FIFA+,Additional sports surfaces,Video,fifa.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Historical advertising documented; June 2026 announcement moves free FIFA+ exclusively onto DAZN. Verify current ad behavior there, not a legacy standalone adapter.",https://inside.fifa.com/tournament-organisation/commercial/news/fifa-announces-sky-media-as-official-and-exclusive-ad-sales-representatives ; https://inside.fifa.com/organisation/media-releases/fifa-plus-dazn-global-home-of-football,"FIFA Announces Sky Media as Official and Exclusive Ad Sales Representatives for FIFA+ in Europe, UK, and Ireland ; FIFA+ launches on DAZN: a major step towards the Global Home of Football",2026-09-06
